Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
153,Exit long,2020-12-08 22:00,EXIT_LONG,81.14,135.47,10931.0743,60.96,0.56,75.86,0.69,-235.72,-2.16,9448.84,9.45
153,Entry long,2020-12-08 17:45,BUY,80.69,135.47,10931.0743,60.96,0.56,75.86,0.69,-235.72,-2.16,9448.84,9.45
154,Exit long,2020-12-08 22:00,EXIT_LONG,81.14,135.57,10928.2977,71.85,0.66,86.76,0.79,-225.05,-2.06,9520.7,9.52
154,Entry long,2020-12-08 18:00,BUY,80.61,135.57,10928.2977,71.85,0.66,86.76,0.79,-225.05,-2.06,9520.7,9.52
155,Exit long,2020-12-09 02:00,EXIT_LONG,79.89,137.38,10953.3074,21.98,0.20,53.58,0.49,-259.65,-2.37,9542.68,9.54
155,Entry long,2020-12-09 00:00,BUY,79.73,137.38,10953.3074,21.98,0.20,53.58,0.49,-259.65,-2.37,9542.68,9.54
156,Exit long,2020-12-09 02:00,EXIT_LONG,79.89,140.17,10929.0549,269.13,2.46,301.37,2.76,-18.22,-0.17,9811.8,9.81
156,Entry long,2020-12-09 00:15,BUY,77.97,140.17,10929.0549,269.13,2.46,301.37,2.76,-18.22,-0.17,9811.8,9.81
157,Exit long,2020-12-09 08:30,EXIT_LONG,77.51,141.27,10982.3298,-32.49,-0.30,84.76,0.77,-329.16,-3.00,9779.31,9.78
157,Entry long,2020-12-09 04:45,BUY,77.74,141.27,10982.3298,-32.49,-0.30,84.76,0.77,-329.16,-3.00,9779.31,9.78
158,Exit long,2020-12-09 08:30,EXIT_LONG,77.51,142.11,10976.5764,38.37,0.35,156.32,1.42,-260.06,-2.37,9817.68,9.82
158,Entry long,2020-12-09 05:00,BUY,77.24,142.11,10976.5764,38.37,0.35,156.32,1.42,-260.06,-2.37,9817.68,9.82
159,Exit long,2020-12-09 08:30,EXIT_LONG,77.51,143.93,10938.68,217.33,1.99,217.33,1.99,-84.92,-0.78,10035.01,10.04
159,Entry long,2020-12-09 07:00,BUY,76,143.93,10938.68,217.33,1.99,217.33,1.99,-84.92,-0.78,10035.01,10.04
160,Exit long,2020-12-09 11:15,EXIT_LONG,76.71,145.62,11003.0472,167.46,1.52,167.46,1.52,-58.25,-0.53,10202.48,10.20
160,Entry long,2020-12-09 09:15,BUY,75.56,145.62,11003.0472,167.46,1.52,167.46,1.52,-58.25,-0.53,10202.48,10.20
161,Exit long,2020-12-09 17:30,EXIT_LONG,74.9,148.04,11017.1368,71.06,0.64,119.91,1.09,-339.01,-3.08,10273.54,10.27
161,Entry long,2020-12-09 16:00,BUY,74.42,148.04,11017.1368,71.06,0.64,119.91,1.09,-339.01,-3.08,10273.54,10.27
162,Exit long,2020-12-09 17:30,EXIT_LONG,74.9,149.45,11011.476,182.33,1.66,204.75,1.86,-231.65,-2.10,10455.87,10.46
