Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
2149,Entry long,1/30/2023 19:15,BUY,89.7600,167.4959,15034.4348,139.02,0.14,169.17,0.17,-167.50,-0.17,50483.37,50.48
2150,Exit long,1/30/2023 22:15,EXIT_LONG,90.5900,166.6498,15096.8075,53.33,0.05,83.32,0.08,-251.64,-0.25,50536.70,50.54
2150,Entry long,1/30/2023 19:30,BUY,90.2700,166.6498,15043.4796,53.33,0.05,83.32,0.08,-251.64,-0.25,50536.70,50.54
2151,Exit long,1/30/2023 22:15,EXIT_LONG,90.5900,167.3416,15159.4721,132.20,0.13,162.32,0.16,-174.04,-0.17,50668.90,50.67
2151,Entry long,1/30/2023 19:45,BUY,89.8000,167.3416,15027.2722,132.20,0.13,162.32,0.16,-174.04,-0.17,50668.90,50.67
2152,Exit long,1/31/2023 23:30,EXIT_LONG,93.9100,161.6793,15183.2988,116.41,0.12,248.99,0.25,-75.99,-0.08,50785.31,50.79
2152,Entry long,1/31/2023 21:30,BUY,93.1900,161.6793,15066.8897,116.41,0.12,248.99,0.25,-75.99,-0.08,50785.31,50.79
2153,Exit long,1/31/2023 23:30,EXIT_LONG,93.9100,161.9609,15209.7443,145.76,0.15,278.57,0.28,-32.39,-0.03,50931.07,50.93
2153,Entry long,1/31/2023 21:45,BUY,93.0100,161.9609,15063.9795,145.76,0.15,278.57,0.28,-32.39,-0.03,50931.07,50.93
2154,Exit long,1/31/2023 23:30,EXIT_LONG,93.9100,161.9887,15212.3619,149.03,0.15,281.86,0.28,-29.16,-0.03,51080.10,51.08
2154,Entry long,1/31/2023 22:30,BUY,92.9900,161.9887,15063.3322,149.03,0.15,281.86,0.28,-29.16,-0.03,51080.10,51.08
2155,Exit long,2/1/2023 18:30,EXIT_LONG,95.3500,159.8224,15239.0645,131.05,0.13,145.44,0.15,-123.06,-0.12,51211.16,51.21
2155,Entry long,2/1/2023 15:30,BUY,94.5300,159.8224,15108.0101,131.05,0.13,145.44,0.15,-123.06,-0.12,51211.16,51.21
2156,Exit long,2/1/2023 18:30,EXIT_LONG,95.3500,159.9595,15252.1348,145.56,0.15,159.96,0.16,-108.77,-0.11,51356.72,51.36
2156,Entry long,2/1/2023 15:45,BUY,94.4400,159.9595,15106.5717,145.56,0.15,159.96,0.16,-108.77,-0.11,51356.72,51.36
2157,Exit long,2/1/2023 18:30,EXIT_LONG,95.3500,160.2617,15280.9520,181.10,0.18,195.52,0.20,-73.72,-0.07,51537.81,51.54
2157,Entry long,2/1/2023 16:00,BUY,94.2200,160.2617,15099.8563,181.10,0.18,195.52,0.20,-73.72,-0.07,51537.81,51.54
2158,Exit long,2/3/2023 00:15,EXIT_LONG,99.6300,154.3627,15379.1509,225.37,0.23,240.81,0.24,-38.59,-0.04,51763.18,51.76
2158,Entry long,2/2/2023 22:00,BUY,98.1700,154.3627,15153.7814,225.37,0.23,240.81,0.24,-38.59,-0.04,51763.18,51.76
2159,Exit long,2/3/2023 14:45,EXIT_LONG,98.7500,154.9553,15301.8321,125.51,0.13,221.59,0.22,-10.85,-0.01,51888.70,51.89
2159,Entry long,2/3/2023 14:30,BUY,97.9400,154.9553,15176.3184,125.51,0.13,221.59,0.22,-10.85,-0.01,51888.70,51.89
2160,Exit long,2/5/2023 02:30,EXIT_LONG,98.7700,154.1391,15224.3217,35.45,0.04,53.95,0.05,-129.48,-0.13,51924.15,51.92
2160,Entry long,2/4/2023 23:45,BUY,98.5400,154.1391,15188.8697,35.45,0.04,53.95,0.05,-129.48,-0.13,51924.15,51.92
2161,Exit long,2/5/2023 02:30,EXIT_LONG,98.7700,154.1814,15228.4945,40.09,0.04,58.59,0.06,-124.89,-0.12,51964.24,51.96
2161,Entry long,2/5/2023 00:00,BUY,98.5100,154.1814,15188.4073,40.09,0.04,58.59,0.06,-124.89,-0.12,51964.24,51.96
2162,Exit long,2/5/2023 02:30,EXIT_LONG,98.7700,154.8075,15290.3367,117.65,0.12,136.23,0.14,-13.93,-0.01,52081.89,52.08
2162,Entry long,2/5/2023 01:00,BUY,98.0100,154.8075,15172.6830,117.65,0.12,136.23,0.14,-13.93,-0.01,52081.89,52.08
2163,Exit long,2/5/2023 16:30,EXIT_LONG,97.6500,155.3124,15166.2547,-41.93,-0.04,21.74,0.02,-267.14,-0.27,52039.96,52.04
2163,Entry long,2/5/2023 12:00,BUY,97.9200,155.3124,15208.1890,-41.93,-0.04,21.74,0.02,-267.14,-0.27,52039.96,52.04
2164,Exit long,2/5/2023 16:30,EXIT_LONG,97.6500,155.4410,15178.8118,-27.98,-0.03,35.75,0.04,-253.37,-0.25,52011.98,52.01
2164,Entry long,2/5/2023 12:15,BUY,97.8300,155.4410,15206.7912,-27.98,-0.03,35.75,0.04,-253.37,-0.25,52011.98,52.01
2165,Exit long,2/5/2023 16:30,EXIT_LONG,97.6500,155.9356,15227.1075,32.75,0.03,40.54,0.04,-193.36,-0.19,52044.72,52.04
2165,Entry long,2/5/2023 12:45,BUY,97.4400,155.9356,15194.3611,32.75,0.03,40.54,0.04,-193.36,-0.19,52044.72,52.04
2166,Exit long,2/5/2023 22:15,EXIT_LONG,95.9800,158.9096,15252.1452,47.67,0.05,76.28,0.08,-130.31,-0.13,52092.40,52.09
2166,Entry long,2/5/2023 17:45,BUY,95.6800,158.9096,15204.4723,47.67,0.05,76.28,0.08,-130.31,-0.13,52092.40,52.09
2167,Exit long,2/5/2023 22:15,EXIT_LONG,95.9800,158.9528,15256.2911,52.45,0.05,81.07,0.08,-125.57,-0.13,52144.85,52.14
2167,Entry long,2/5/2023 18:00,BUY,95.6500,158.9528,15203.8367,52.45,0.05,81.07,0.08,-125.57,-0.13,52144.85,52.14
2168,Exit long,2/5/2023 22:15,EXIT_LONG,95.9800,158.7554,15237.3395,28.58,0.03,57.15,0.06,-149.23,-0.15,52173.43,52.17
2168,Entry long,2/5/2023 18:15,BUY,95.8000,158.7554,15208.7635,28.58,0.03,57.15,0.06,-149.23,-0.15,52173.43,52.17
2169,Exit long,2/6/2023 06:30,EXIT_LONG,96.0300,159.8460,15350.0148,132.67,0.13,145.46,0.15,-62.34,-0.06,52306.10,52.31
2169,Entry long,2/6/2023 05:30,BUY,95.2000,159.8460,15217.3426,132.67,0.13,145.46,0.15,-62.34,-0.06,52306.10,52.31
2170,Exit long,2/7/2023 02:00,EXIT_LONG,96.5900,158.6522,15324.2146,93.60,0.09,99.95,0.10,-120.58,-0.12,52399.70,52.40
2170,Entry long,2/6/2023 23:15,BUY,96,158.6522,15230.6098,93.60,0.09,99.95,0.10,-120.58,-0.12,52399.70,52.40
2171,Exit long,2/7/2023 02:00,EXIT_LONG,96.5900,159.2363,15380.6326,156.05,0.16,162.42,0.16,-58.92,-0.06,52555.75,52.56
2171,Entry long,2/6/2023 23:30,BUY,95.6100,159.2363,15224.5811,156.05,0.16,162.42,0.16,-58.92,-0.06,52555.75,52.56
2172,Exit long,2/8/2023 19:15,EXIT_LONG,99.2000,152.8615,15163.8586,-91.72,-0.09,88.66,0.09,-449.41,-0.45,52464.04,52.46
2172,Entry long,2/8/2023 14:30,BUY,99.8000,152.8615,15255.5755,-91.72,-0.09,88.66,0.09,-449.41,-0.45,52464.04,52.46
2173,Exit long,2/8/2023 19:15,EXIT_LONG,99.2000,153.8068,15257.6383,12.30,0.01,64.60,0.06,-347.60,-0.35,52476.34,52.48
2173,Entry long,2/8/2023 15:15,BUY,99.1200,153.8068,15245.3338,12.30,0.01,64.60,0.06,-347.60,-0.35,52476.34,52.48
2174,Exit long,2/8/2023 19:15,EXIT_LONG,99.2000,153.7680,15253.7893,7.69,0.01,59.97,0.06,-352.13,-0.35,52484.03,52.48
2174,Entry long,2/8/2023 15:30,BUY,99.1500,153.7680,15246.1009,7.69,0.01,59.97,0.06,-352.13,-0.35,52484.03,52.48
2175,Exit long,2/9/2023 06:45,EXIT_LONG,96.8300,156.5544,15159.1671,-89.24,-0.09,3.13,0,-335.03,-0.34,52394.79,52.39
2175,Entry long,2/9/2023 03:00,BUY,97.4000,156.5544,15248.4031,-89.24,-0.09,3.13,0,-335.03,-0.34,52394.79,52.39
2176,Exit long,2/9/2023 06:45,EXIT_LONG,96.8300,158.4159,15339.4118,110.89,0.11,169.51,0.17,-137.82,-0.14,52505.69,52.51
2176,Entry long,2/9/2023 03:15,BUY,96.1300,158.4159,15228.5207,110.89,0.11,169.51,0.17,-137.82,-0.14,52505.69,52.51
2177,Exit long,2/9/2023 06:45,EXIT_LONG,96.8300,158.7403,15370.8197,150.80,0.15,209.54,0.21,-98.42,-0.10,52656.49,52.66
2177,Entry long,2/9/2023 03:30,BUY,95.8800,158.7403,15220.0165,150.80,0.15,209.54,0.21,-98.42,-0.10,52656.49,52.66
2178,Exit long,2/9/2023 23:45,EXIT_LONG,92.0700,159.6491,14698.8945,-566.75,-0.57,75.04,0.08,-932.35,-0.93,52089.73,52.09
2178,Entry long,2/9/2023 16:45,BUY,95.6200,159.6491,15265.6489,-566.75,-0.57,75.04,0.08,-932.35,-0.93,52089.73,52.09
2179,Exit long,2/9/2023 23:45,EXIT_LONG,92.0700,159.6925,14702.8926,-562.12,-0.56,79.85,0.08,-927.81,-0.93,51527.62,51.53
2179,Entry long,2/9/2023 17:00,BUY,95.5900,159.6925,15265.0103,-562.12,-0.56,79.85,0.08,-927.81,-0.93,51527.62,51.53
2180,Exit long,2/9/2023 23:45,EXIT_LONG,92.0700,161.7758,14894.6962,-321.93,-0.32,0,0,-692.40,-0.69,51205.68,51.21
2180,Entry long,2/9/2023 19:30,BUY,94.0600,161.7758,15216.6300,-321.93,-0.32,0,0,-692.40,-0.69,51205.68,51.21
2181,Exit long,2/11/2023 16:00,EXIT_LONG,93.7400,162.8494,15265.5043,144.94,0.14,159.59,0.16,-35.83,-0.04,51350.62,51.35
2181,Entry long,2/11/2023 14:30,BUY,92.8500,162.8494,15120.5683,144.94,0.14,159.59,0.16,-35.83,-0.04,51350.62,51.35
2182,Exit long,2/12/2023 07:00,EXIT_LONG,93.7300,162.3063,15212.9689,77.91,0.08,77.91,0.08,-27.59,-0.03,51428.53,51.43
2182,Entry long,2/12/2023 04:45,BUY,93.2500,162.3063,15135.0619,77.91,0.08,77.91,0.08,-27.59,-0.03,51428.53,51.43
2183,Exit long,2/12/2023 07:00,EXIT_LONG,93.7300,162.2576,15208.4024,73.02,0.07,73.02,0.07,-11.36,-0.01,51501.54,51.50
2183,Entry long,2/12/2023 05:00,BUY,93.2800,162.2576,15135.3865,73.02,0.07,73.02,0.07,-11.36,-0.01,51501.54,51.50
2184,Exit long,2/13/2023 00:00,EXIT_LONG,92.5000,163.7677,15148.5165,-1.64,-0,407.78,0.41,-266.94,-0.27,51499.90,51.50
2184,Entry long,2/12/2023 21:45,BUY,92.5100,163.7677,15150.1542,-1.64,-0,407.78,0.41,-266.94,-0.27,51499.90,51.50
2185,Exit long,2/13/2023 00:00,EXIT_LONG,92.5000,164.3775,15204.9145,60.82,0.06,471.76,0.47,-205.47,-0.21,51560.72,51.56
2185,Entry long,2/12/2023 22:00,BUY,92.1300,164.3775,15144.0948,60.82,0.06,471.76,0.47,-205.47,-0.21,51560.72,51.56
2186,Exit long,2/13/2023 00:00,EXIT_LONG,92.5000,165.6881,15326.1506,212.08,0.21,626.30,0.63,-24.85,-0.02,51772.80,51.77
2186,Entry long,2/12/2023 22:15,BUY,91.2200,165.6881,15114.0698,212.08,0.21,626.30,0.63,-24.85,-0.02,51772.80,51.77
2187,Exit long,2/13/2023 11:30,EXIT_LONG,91.3400,165.3299,15101.2288,-76.05,-0.08,44.64,0.04,-381.91,-0.38,51696.75,51.70
2187,Entry long,2/13/2023 08:45,BUY,91.8000,165.3299,15177.2805,-76.05,-0.08,44.64,0.04,-381.91,-0.38,51696.75,51.70
2188,Exit long,2/13/2023 11:30,EXIT_LONG,91.3400,165.8975,15153.0799,-18.25,-0.02,51.43,0.05,-325.16,-0.33,51678.50,51.68
2188,Entry long,2/13/2023 09:00,BUY,91.4500,165.8975,15171.3286,-18.25,-0.02,51.43,0.05,-325.16,-0.33,51678.50,51.68
2189,Exit long,2/13/2023 11:30,EXIT_LONG,91.3400,166.3802,15197.1671,36.60,0.04,49.91,0.05,-271.20,-0.27,51715.11,51.72
2189,Entry long,2/13/2023 09:15,BUY,91.1200,166.3802,15160.5634,36.60,0.04,49.91,0.05,-271.20,-0.27,51715.11,51.72
2190,Exit long,2/13/2023 20:45,EXIT_LONG,89.7800,168.9478,15168.1319,-3.38,-0,48.99,0.05,-277.07,-0.28,51711.73,51.71
2190,Entry long,2/13/2023 17:30,BUY,89.8000,168.9478,15171.5108,-3.38,-0,48.99,0.05,-277.07,-0.28,51711.73,51.71
2191,Exit long,2/13/2023 20:45,EXIT_LONG,89.7800,171.0265,15354.7586,203.52,0.20,256.54,0.26,-73.54,-0.07,51915.25,51.92
2191,Entry long,2/13/2023 17:45,BUY,88.5900,171.0265,15151.2371,203.52,0.20,256.54,0.26,-73.54,-0.07,51915.25,51.92
2192,Exit long,2/13/2023 20:45,EXIT_LONG,89.7800,171.2919,15378.5855,232.96,0.23,286.06,0.29,-1.71,-0,52148.21,52.15
2192,Entry long,2/13/2023 18:00,BUY,88.4200,171.2919,15145.6285,232.96,0.23,286.06,0.29,-1.71,-0,52148.21,52.15
2193,Exit long,2/17/2023 01:45,EXIT_LONG,100.4500,151.7083,15239.0941,24.27,0.02,80.41,0.08,-318.59,-0.32,52172.48,52.17
2193,Entry long,2/16/2023 22:45,BUY,100.2900,151.7083,15214.8208,24.27,0.02,80.41,0.08,-318.59,-0.32,52172.48,52.17
2194,Exit long,2/17/2023 01:45,EXIT_LONG,100.4500,152.3252,15301.0640,92.92,0.09,149.28,0.15,-251.34,-0.25,52265.40,52.27
2194,Entry long,2/16/2023 23:00,BUY,99.8400,152.3252,15208.1456,92.92,0.09,149.28,0.15,-251.34,-0.25,52265.40,52.27
2195,Exit long,2/17/2023 01:45,EXIT_LONG,100.4500,153.1628,15385.2037,197.58,0.20,202.17,0.20,-148.57,-0.15,52462.98,52.46
2195,Entry long,2/16/2023 23:45,BUY,99.1600,153.1628,15187.6237,197.58,0.20,202.17,0.20,-148.57,-0.15,52462.98,52.46
2196,Exit long,2/17/2023 23:00,EXIT_LONG,100.4200,154.1743,15482.1846,235.89,0.24,266.72,0.27,-41.63,-0.04,52698.87,52.70
2196,Entry long,2/17/2023 22:15,BUY,98.8900,154.1743,15246.2979,235.89,0.24,266.72,0.27,-41.63,-0.04,52698.87,52.70
2197,Exit long,2/18/2023 13:15,EXIT_LONG,99.9900,152.7294,15271.4139,1.53,0,120.66,0.12,-160.37,-0.16,52700.39,52.70
2197,Entry long,2/18/2023 08:45,BUY,99.9800,152.7294,15269.8866,1.53,0,120.66,0.12,-160.37,-0.16,52700.39,52.70
2198,Exit long,2/18/2023 13:15,EXIT_LONG,99.9900,152.9344,15291.9124,24.47,0.02,143.76,0.14,-137.64,-0.14,52724.86,52.72
2198,Entry long,2/18/2023 09:30,BUY,99.8300,152.9344,15267.4429,24.47,0.02,143.76,0.14,-137.64,-0.14,52724.86,52.72
2199,Exit long,2/18/2023 13:15,EXIT_LONG,99.9900,153.2401,15322.4768,62.83,0.06,79.68,0.08,-99.61,-0.10,52787.69,52.79
2199,Entry long,2/18/2023 10:15,BUY,99.5800,153.2401,15259.6484,62.83,0.06,79.68,0.08,-99.61,-0.10,52787.69,52.79
2200,Exit long,2/19/2023 22:15,EXIT_LONG,98.5700,155.5249,15330.0924,51.32,0.05,115.09,0.12,-236.40,-0.24,52839.01,52.84
2200,Entry long,2/19/2023 17:15,BUY,98.2400,155.5249,15278.7691,51.32,0.05,115.09,0.12,-236.40,-0.24,52839.01,52.84
2201,Exit long,2/19/2023 22:15,EXIT_LONG,98.5700,156.0095,15377.8521,104.53,0.10,106.09,0.11,-184.09,-0.18,52943.54,52.94
2201,Entry long,2/19/2023 18:15,BUY,97.9000,156.0095,15273.3258,104.53,0.10,106.09,0.11,-184.09,-0.18,52943.54,52.94
2202,Exit long,2/19/2023 22:15,EXIT_LONG,98.5700,156.2826,15404.7793,137.53,0.14,139.09,0.14,-151.59,-0.15,53081.07,53.08
2202,Entry long,2/19/2023 18:45,BUY,97.6900,156.2826,15267.2506,137.53,0.14,139.09,0.14,-151.59,-0.15,53081.07,53.08
2203,Exit long,2/20/2023 01:45,EXIT_LONG,97.4200,159.9928,15586.4944,278.39,0.28,331.19,0.33,-16,-0.02,53359.46,53.36
2203,Entry long,2/20/2023 01:15,BUY,95.6800,159.9928,15308.1070,278.39,0.28,331.19,0.33,-16,-0.02,53359.46,53.36
2204,Exit long,2/20/2023 15:00,EXIT_LONG,97.4400,158.9876,15491.7536,155.81,0.16,174.89,0.17,-127.19,-0.13,53515.26,53.52
2204,Entry long,2/20/2023 12:45,BUY,96.4600,158.9876,15335.9457,155.81,0.16,174.89,0.17,-127.19,-0.13,53515.26,53.52
2205,Exit long,2/20/2023 15:00,EXIT_LONG,97.4400,159.4772,15539.4552,208.92,0.21,228.05,0.23,-20.73,-0.02,53724.18,53.72
2205,Entry long,2/20/2023 13:00,BUY,96.1300,159.4772,15330.5401,208.92,0.21,228.05,0.23,-20.73,-0.02,53724.18,53.72
2206,Exit long,2/20/2023 15:00,EXIT_LONG,97.4400,159.3627,15528.3063,194.42,0.19,213.55,0.21,-9.56,-0.01,53918.60,53.92
2206,Entry long,2/20/2023 13:15,BUY,96.2200,159.3627,15333.8838,194.42,0.19,213.55,0.21,-9.56,-0.01,53918.60,53.92
2207,Exit long,2/20/2023 21:45,EXIT_LONG,95.5500,161.1882,15401.5315,9.67,0.01,162.80,0.16,-177.31,-0.18,53928.27,53.93
2207,Entry long,2/20/2023 16:30,BUY,95.4900,161.1882,15391.8602,9.67,0.01,162.80,0.16,-177.31,-0.18,53928.27,53.93
2208,Exit long,2/20/2023 21:45,EXIT_LONG,95.5500,161.5079,15432.0824,43.61,0.04,114.67,0.11,-143.74,-0.14,53971.88,53.97
2208,Entry long,2/20/2023 19:15,BUY,95.2800,161.5079,15388.4753,43.61,0.04,114.67,0.11,-143.74,-0.14,53971.88,53.97
2209,Exit long,2/20/2023 21:45,EXIT_LONG,95.5500,161.5724,15438.2423,51.70,0.05,122.80,0.12,-135.72,-0.14,54023.58,54.02
2209,Entry long,2/20/2023 19:30,BUY,95.2300,161.5724,15386.5391,51.70,0.05,122.80,0.12,-135.72,-0.14,54023.58,54.02
2210,Exit long,2/21/2023 14:45,EXIT_LONG,93.6600,162.4036,15210.7221,-191.64,-0.19,1.62,0,-436.87,-0.44,53831.95,53.83
2210,Entry long,2/21/2023 08:45,BUY,94.8400,162.4036,15402.3584,-191.64,-0.19,1.62,0,-436.87,-0.44,53831.95,53.83
2211,Exit long,2/21/2023 14:45,EXIT_LONG,93.6600,163.9612,15356.6050,-29.51,-0.03,127.89,0.13,-277.09,-0.28,53802.43,53.80
2211,Entry long,2/21/2023 09:00,BUY,93.8400,163.9612,15386.1180,-29.51,-0.03,127.89,0.13,-277.09,-0.28,53802.43,53.80
2212,Exit long,2/21/2023 14:45,EXIT_LONG,93.6600,163.7063,15332.7320,-58.93,-0.06,98.22,0.10,-306.13,-0.31,53743.50,53.74
2212,Entry long,2/21/2023 09:15,BUY,94.0200,163.7063,15391.6662,-58.93,-0.06,98.22,0.10,-306.13,-0.31,53743.50,53.74
2213,Exit long,2/21/2023 22:45,EXIT_LONG,93.0800,167.2761,15570.0631,195.71,0.20,207.42,0.21,-13.38,-0.01,53939.21,53.94
2213,Entry long,2/21/2023 21:30,BUY,91.9100,167.2761,15374.3501,195.71,0.20,207.42,0.21,-13.38,-0.01,53939.21,53.94
2214,Exit long,2/22/2023 18:30,EXIT_LONG,93.1000,165.1886,15379.0544,-14.87,-0.01,28.08,0.03,-267.61,-0.27,53924.35,53.92
2214,Entry long,2/22/2023 15:00,BUY,93.1900,165.1886,15393.9214,-14.87,-0.01,28.08,0.03,-267.61,-0.27,53924.35,53.92
2215,Exit long,2/22/2023 18:30,EXIT_LONG,93.1000,165.9439,15449.3814,63.06,0.06,106.20,0.11,-190.84,-0.19,53987.41,53.99
2215,Entry long,2/22/2023 15:15,BUY,92.7200,165.9439,15386.3227,63.06,0.06,106.20,0.11,-190.84,-0.19,53987.41,53.99
2216,Exit long,2/22/2023 18:30,EXIT_LONG,93.1000,166.7493,15524.3584,156.74,0.16,200.10,0.20,-95.05,-0.10,54144.15,54.14
2216,Entry long,2/22/2023 15:30,BUY,92.1600,166.7493,15367.6141,156.74,0.16,200.10,0.20,-95.05,-0.10,54144.15,54.14
2217,Exit long,2/23/2023 12:30,EXIT_LONG,94.6600,164.3153,15554.0829,139.67,0.14,149.53,0.15,-82.16,-0.08,54283.82,54.28
2217,Entry long,2/23/2023 11:45,BUY,93.8100,164.3153,15414.4150,139.67,0.14,149.53,0.15,-82.16,-0.08,54283.82,54.28
2218,Exit long,2/23/2023 12:30,EXIT_LONG,94.6600,164.4415,15566.0310,152.93,0.15,162.80,0.16,-23.02,-0.02,54436.75,54.44
2218,Entry long,2/23/2023 12:00,BUY,93.7300,164.4415,15413.1004,152.93,0.15,162.80,0.16,-23.02,-0.02,54436.75,54.44
2219,Exit long,2/24/2023 17:45,EXIT_LONG,91.9100,166.1682,15272.5216,-171.15,-0.17,93.05,0.09,-488.53,-0.49,54265.59,54.27
2219,Entry long,2/24/2023 14:00,BUY,92.9400,166.1682,15443.6748,-171.15,-0.17,93.05,0.09,-488.53,-0.49,54265.59,54.27
2220,Exit long,2/24/2023 17:45,EXIT_LONG,91.9100,166.1200,15268.0862,-176.09,-0.18,88.04,0.09,-493.38,-0.49,54089.51,54.09
2220,Entry long,2/24/2023 14:15,BUY,92.9700,166.1200,15444.1733,-176.09,-0.18,88.04,0.09,-493.38,-0.49,54089.51,54.09
2221,Exit long,2/24/2023 17:45,EXIT_LONG,91.9100,166.3778,15291.7797,-146.41,-0.15,0,0,-464.19,-0.46,53943.10,53.94
2221,Entry long,2/24/2023 15:15,BUY,92.7900,166.3778,15438.1921,-146.41,-0.15,0,0,-464.19,-0.46,53943.10,53.94
2222,Exit long,2/27/2023 10:15,EXIT_LONG,94.4300,163.8739,15474.6077,80.30,0.08,88.49,0.09,-32.77,-0.03,54023.39,54.02
2222,Entry long,2/27/2023 08:30,BUY,93.9400,163.8739,15394.3095,80.30,0.08,88.49,0.09,-32.77,-0.03,54023.39,54.02
2223,Exit long,2/27/2023 21:45,EXIT_LONG,93.5900,164.6781,15412.2200,9.88,0.01,24.70,0.02,-186.09,-0.19,54033.27,54.03
2223,Entry long,2/27/2023 18:15,BUY,93.5300,164.6781,15402.3394,9.88,0.01,24.70,0.02,-186.09,-0.19,54033.27,54.03
2224,Exit long,2/27/2023 21:45,EXIT_LONG,93.5900,165.4764,15486.9369,92.67,0.09,107.56,0.11,-104.25,-0.10,54125.94,54.13
2224,Entry long,2/27/2023 18:30,BUY,93.0300,165.4764,15394.2701,92.67,0.09,107.56,0.11,-104.25,-0.10,54125.94,54.13
2225,Exit long,2/27/2023 21:45,EXIT_LONG,93.5900,165.6171,15500.1058,107.65,0.11,122.56,0.12,-53,-0.05,54233.59,54.23
2225,Entry long,2/27/2023 18:45,BUY,92.9400,165.6171,15392.4547,107.65,0.11,122.56,0.12,-53,-0.05,54233.59,54.23
2226,Exit long,2/28/2023 09:15,EXIT_LONG,93.8500,165.1854,15502.6482,79.29,0.08,89.20,0.09,-57.81,-0.06,54312.88,54.31
2226,Entry long,2/28/2023 08:00,BUY,93.3700,165.1854,15423.3592,79.29,0.08,89.20,0.09,-57.81,-0.06,54312.88,54.31
2227,Exit long,3/1/2023 00:15,EXIT_LONG,94.4700,164.7234,15561.4196,130.13,0.13,144.96,0.14,-69.18,-0.07,54443.01,54.44
2227,Entry long,2/28/2023 21:15,BUY,93.6800,164.7234,15431.2881,130.13,0.13,144.96,0.14,-69.18,-0.07,54443.01,54.44
2228,Exit long,3/1/2023 00:15,EXIT_LONG,94.4700,165.0088,15588.3816,160.06,0.16,174.91,0.17,-39.60,-0.04,54603.07,54.60
2228,Entry long,2/28/2023 21:45,BUY,93.5000,165.0088,15428.3231,160.06,0.16,174.91,0.17,-39.60,-0.04,54603.07,54.60
2229,Exit long,3/1/2023 00:15,EXIT_LONG,94.4700,164.9841,15586.0472,156.73,0.16,171.58,0.17,-42.90,-0.04,54759.81,54.76
2229,Entry long,2/28/2023 22:00,BUY,93.5200,164.9841,15429.3123,156.73,0.16,171.58,0.17,-42.90,-0.04,54759.81,54.76
2230,Exit long,3/2/2023 19:00,EXIT_LONG,94.8800,161.0236,15277.9215,-198.06,-0.20,6.44,0.01,-357.47,-0.36,54561.75,54.56
2230,Entry long,3/2/2023 12:15,BUY,96.1100,161.0236,15475.9806,-198.06,-0.20,6.44,0.01,-357.47,-0.36,54561.75,54.56
2231,Exit long,3/2/2023 19:00,EXIT_LONG,94.8800,161.6901,15341.1604,-127.74,-0.13,67.91,0.07,-287.81,-0.29,54434.01,54.43
2231,Entry long,3/2/2023 12:30,BUY,95.6700,161.6901,15468.8956,-127.74,-0.13,67.91,0.07,-287.81,-0.29,54434.01,54.43
2232,Exit long,3/2/2023 19:00,EXIT_LONG,94.8800,161.8357,15354.9747,-110.05,-0.11,85.77,0.09,-270.27,-0.27,54323.96,54.32
2232,Entry long,3/2/2023 12:45,BUY,95.5600,161.8357,15465.0230,-110.05,-0.11,85.77,0.09,-270.27,-0.27,54323.96,54.32
2233,Exit long,3/3/2023 05:00,EXIT_LONG,89.3200,168.5680,15056.4898,-375.91,-0.38,0,0,-1053.55,-1.05,53948.06,53.95
2233,Entry long,3/3/2023 01:30,BUY,91.5500,168.5680,15432.3963,-375.91,-0.38,0,0,-1053.55,-1.05,53948.06,53.95
2234,Exit long,3/3/2023 05:00,EXIT_LONG,89.3200,174.9936,15630.4296,260.74,0.26,278.24,0.28,-145.24,-0.15,54208.80,54.21
2234,Entry long,3/3/2023 01:45,BUY,87.8300,174.9936,15369.6891,260.74,0.26,278.24,0.28,-145.24,-0.15,54208.80,54.21
2235,Exit long,3/4/2023 22:45,EXIT_LONG,88.8400,173.5413,15417.4089,-3.47,-0,38.18,0.04,-253.37,-0.25,54205.33,54.21
2235,Entry long,3/4/2023 20:00,BUY,88.8600,173.5413,15420.8797,-3.47,-0,38.18,0.04,-253.37,-0.25,54205.33,54.21
2236,Exit long,3/4/2023 22:45,EXIT_LONG,88.8400,174.1058,15467.5582,52.23,0.05,80.09,0.08,-198.48,-0.20,54257.56,54.26
2236,Entry long,3/4/2023 20:15,BUY,88.5400,174.1058,15415.3264,52.23,0.05,80.09,0.08,-198.48,-0.20,54257.56,54.26
2237,Exit long,3/4/2023 22:45,EXIT_LONG,88.8400,173.8505,15444.8802,24.34,0.02,52.16,0.05,-226.01,-0.23,54281.90,54.28
2237,Entry long,3/4/2023 20:30,BUY,88.7000,173.8505,15420.5411,24.34,0.02,52.16,0.05,-226.01,-0.23,54281.90,54.28
2238,Exit long,3/5/2023 20:45,EXIT_LONG,90.4300,170.9495,15458.9606,30.77,0.03,39.32,0.04,-44.45,-0.04,54312.67,54.31
2238,Entry long,3/5/2023 18:15,BUY,90.2500,170.9495,15428.1897,30.77,0.03,39.32,0.04,-44.45,-0.04,54312.67,54.31
2239,Exit long,3/5/2023 20:45,EXIT_LONG,90.4300,171.2056,15482.1234,56.50,0.06,65.06,0.07,-17.12,-0.02,54369.17,54.37
2239,Entry long,3/5/2023 19:45,BUY,90.1000,171.2056,15425.6255,56.50,0.06,65.06,0.07,-17.12,-0.02,54369.17,54.37
