Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
138,Entry long,12/4/2020 10:30,BUY,84.9700,130.6696,11102.9952,87.55,0.09,133.28,0.13,-257.42,-0.26,11117.50,11.12
139,Exit long,12/4/2020 14:30,EXIT_LONG,85.6400,131.6809,11277.1563,184.35,0.18,219.91,0.22,-163.28,-0.16,11301.85,11.30
139,Entry long,12/4/2020 12:00,BUY,84.2400,131.6809,11092.8030,184.35,0.18,219.91,0.22,-163.28,-0.16,11301.85,11.30
140,Exit long,12/4/2020 14:30,EXIT_LONG,85.6400,132.0845,11311.7126,225.86,0.23,261.53,0.26,-122.84,-0.12,11527.72,11.53
140,Entry long,12/4/2020 12:15,BUY,83.9300,132.0845,11085.8482,225.86,0.23,261.53,0.26,-122.84,-0.12,11527.72,11.53
141,Exit long,12/4/2020 18:45,EXIT_LONG,84.0100,133.8547,11245.1316,92.36,0.09,145.90,0.15,-195.43,-0.20,11620.08,11.62
141,Entry long,12/4/2020 16:15,BUY,83.3200,133.8547,11152.7719,92.36,0.09,145.90,0.15,-195.43,-0.20,11620.08,11.62
142,Exit long,12/4/2020 18:45,EXIT_LONG,84.0100,134.0703,11263.2493,112.62,0.11,166.25,0.17,-175.63,-0.18,11732.70,11.73
142,Entry long,12/4/2020 16:30,BUY,83.1700,134.0703,11150.6302,112.62,0.11,166.25,0.17,-175.63,-0.18,11732.70,11.73
143,Exit long,12/4/2020 18:45,EXIT_LONG,84.0100,134.3500,11286.7409,141.07,0.14,194.81,0.19,-59.11,-0.06,11873.76,11.87
143,Entry long,12/4/2020 16:45,BUY,82.9600,134.3500,11145.6735,141.07,0.14,194.81,0.19,-59.11,-0.06,11873.76,11.87
144,Exit long,12/5/2020 00:45,EXIT_LONG,80.5800,136.5147,11000.3514,-187.03,-0.19,68.26,0.07,-566.54,-0.57,11686.74,11.69
144,Entry long,12/4/2020 21:30,BUY,81.9500,136.5147,11187.3765,-187.03,-0.19,68.26,0.07,-566.54,-0.57,11686.74,11.69
145,Exit long,12/5/2020 00:45,EXIT_LONG,80.5800,136.3948,10990.6961,-197.77,-0.20,1.36,0,-576.95,-0.58,11488.97,11.49
