time,close,trend,rv20,hurst,causal_state,causal_label,causal_conf,fullsample_state
1779458400,76774.23,-0.0001474766222781292,0.0023508571577735243,0.5260838545863166,2,Bull/Calm (trending),0.999140284792426,1
1779462000,76790.59,-0.00015368535971125569,0.002129701125929996,0.5427929214198077,2,Bull/Calm (trending),0.9980051862812798,1
1779465600,76950.68,-0.00014856872749486724,0.0022063966061880965,0.541615780534376,2,Bull/Calm (trending),0.9980152679581702,1
1779469200,76750.0,-0.00016517937947254063,0.0022567097218554244,0.5323186601113298,2,Bull/Calm (trending),0.9987747324276146,1
1779472800,76537.47,-0.00020359597358941746,0.0023084789662375952,0.5346967762373926,2,Bull/Calm (trending),0.9985117000747297,1
1779476400,75860.44,-0.0002634786311627643,0.0029381586736218295,0.5249307539927975,2,Bull/Calm (trending),0.998456265163758,1
1779480000,75984.47,-0.0003045625228289672,0.0029619541928410454,0.5285332144729339,2,Bull/Calm (trending),0.9978920675604711,1
1779483600,75978.83,-0.00035814009819663844,0.002815320669396348,0.5280583500292979,2,Bull/Calm (trending),0.9976222316823175,1
1779487200,75737.52,-0.0004490831664734379,0.0028195108191276888,0.5276166966586656,2,Bull/Calm (trending),0.9964338493213705,1
1779490800,75539.5,-0.0005476951837729974,0.0027639595493161597,0.541003616754461,2,Bull/Calm (trending),0.9900543979931765,1
1779494400,75352.64,-0.0006466136086412165,0.0027732053008053233,0.532677963687111,2,Bull/Calm (trending),0.9838280220215571,1
1779498000,75489.84,-0.0007378988333379024,0.0028651947115643115,0.5309279214510813,2,Bull/Calm (trending),0.9590177229233721,1
1779501600,75572.07,-0.0008276928845202283,0.0029138266059918426,0.5351286949894883,2,Bull/Calm (trending),0.8336066969474781,1
1779505200,75635.22,-0.0008916508368351038,0.0029417479956645345,0.5557208790844486,0,Bear/Volatile (trending),0.6418806107570869,1
1779508800,75539.77,-0.000960913779856702,0.0029378006099464713,0.5806166013128676,0,Bear/Volatile (trending),0.8976991290878005,0
1779512400,75482.68,-0.0009858184695776579,0.0029140082472273506,0.5700433695143314,0,Bear/Volatile (trending),0.9279955405575547,0
1779516000,75398.33,-0.001038436472059471,0.0028991143459706813,0.5531304246013499,0,Bear/Volatile (trending),0.9803178744098289,0
1779519600,74609.36,-0.0011229204459651681,0.0034843944163453432,0.5560896327145177,0,Bear/Volatile (trending),0.9960803109106182,0
1779523200,74684.3,-0.0011791111052267677,0.0034681745523037575,0.5600407972909202,0,Bear/Volatile (trending),0.9982437017221402,0
1779526800,74656.91,-0.0012302552999053826,0.0034700325938802814,0.5452208786705129,0,Bear/Volatile (trending),0.9994811031027871,0
1779530400,74705.0,-0.0012696761186018932,0.003301600942752151,0.5628819033676808,0,Bear/Volatile (trending),0.9989619281391242,0
1779534000,74789.99,-0.0012940162107182977,0.0033311922721924276,0.5706440870245248,0,Bear/Volatile (trending),0.9986759932609591,0
1779537600,74753.93,-0.0013282920057721055,0.0032414725933832284,0.5918808817929253,0,Bear/Volatile (trending),0.9973234417200523,0
1779541200,75213.9,-0.0013017537218516025,0.0036415116438432813,0.5612229254476214,0,Bear/Volatile (trending),0.999260396952499,0
1779544800,75537.72,-0.001246725586062277,0.0038010501901491727,0.5445398606159394,0,Bear/Volatile (trending),0.9996825796912088,0
1779548400,75520.0,-0.0011846137905459936,0.0032707175731931048,0.5498822163061973,0,Bear/Volatile (trending),0.9991127311080175,0
1779552000,75444.7,-0.0011279768002241547,0.003244842252734681,0.55819839539802,0,Bear/Volatile (trending),0.9980266231395901,0
1779555600,75488.18,-0.001069906435355702,0.0032510724600849517,0.5493983000923023,0,Bear/Volatile (trending),0.99811028130778,0
1779559200,75845.82,-0.0009837989570162017,0.0033641859840723796,0.557761377866893,0,Bear/Volatile (trending),0.9959381745762839,0
1779562800,75983.45,-0.0008885600200551019,0.0033234049683219893,0.5530618964704539,0,Bear/Volatile (trending),0.993829018729686,0
1779566400,77287.58,-0.0007096020269158819,0.004935897968624928,0.5641679224815098,0,Bear/Volatile (trending),0.9974771894017372,0
1779570000,76804.99,-0.0005749734337421142,0.005211574499165221,0.5356243633376447,0,Bear/Volatile (trending),0.9990950030212249,0
1779573600,76584.45,-0.00044812133698323944,0.005277531105126052,0.5236856601587644,0,Bear/Volatile (trending),0.9984892324755886,0
1779577200,76752.01,-0.0002993927603849866,0.0052884442381263465,0.5414995692110648,0,Bear/Volatile (trending),0.9963921702410349,0
1779580800,76835.16,-0.00013782511381266906,0.005267826523748623,0.535390882156325,0,Bear/Volatile (trending),0.9912128661533318,0
1779584400,76890.04,1.385158475725712e-05,0.005254474460670506,0.5747103682661048,0,Bear/Volatile (trending),0.9780579792644378,0
1779588000,76830.0,0.000131411156791867,0.005248119920051782,0.5755123543940339,0,Bear/Volatile (trending),0.9453776257405275,3
1779591600,76750.0,0.0002453521646355516,0.004538879913165874,0.5045688008402445,0,Bear/Volatile (trending),0.8080647970572623,3
1779595200,76786.5,0.00037119068741814826,0.004542931571274707,0.5097906248314149,2,Bull/Calm (trending),0.4450404771598596,3
1779598800,76822.23,0.00048712040350398024,0.0045298075725949865,0.5168219149347101,2,Bull/Calm (trending),0.705287805081394,3
1779602400,76987.58,0.0005982146446491463,0.0045285788999039145,0.5182047615471644,2,Bull/Calm (trending),0.687229509753431,3
1779606000,76799.99,0.0006576004650223143,0.004613688567988102,0.5478574163412878,3,Bull/Normal (trending),0.6938224165452421,3
1779609600,76830.69,0.0007215786736704741,0.004599689181956208,0.5518448624343354,3,Bull/Normal (trending),0.9490634210920279,3
1779613200,77020.53,0.0007918087084511929,0.004471084947272769,0.5652014396366306,3,Bull/Normal (trending),0.9952426930741072,3
1779616800,77190.74,0.0008534851201730674,0.00441872500751829,0.541365034424395,3,Bull/Normal (trending),0.9977161539428272,3
1779620400,77320.06,0.0009058746277005032,0.0044093850997320655,0.5213549469384335,3,Bull/Normal (trending),0.9977391741402271,3
1779624000,77118.73,0.0009329561717289054,0.004465514576692304,0.5595555148821686,3,Bull/Normal (trending),0.9992053576674522,3
1779627600,76802.23,0.0009456440950943122,0.004614890150529543,0.5536198714470498,3,Bull/Normal (trending),0.9993616805405848,3
1779631200,76465.16,0.0009395414073701542,0.0046636210527224,0.5300361162148884,3,Bull/Normal (trending),0.9990301354198462,3
1779634800,76371.59,0.0009258172966693373,0.004664869962528477,0.5151155702736516,3,Bull/Normal (trending),0.9986022757958372,3
1779638400,76671.7,0.0009166077595889376,0.0026885276928212266,0.46002109400054536,3,Bull/Normal (trending),0.9663309920913956,3
1779642000,76693.34,0.0009046922794974444,0.0023087514899175106,0.4700317896651956,3,Bull/Normal (trending),0.8836130981727244,3
1779645600,76665.73,0.0008824309085847056,0.0022146248717889653,0.4959244946153203,3,Bull/Normal (trending),0.7351830521974799,3
1779649200,76773.34,0.0008117667880418847,0.0021816218179970042,0.5018786985107736,2,Bull/Calm (trending),0.583697095356101,3
